"år"	"Mors fødealder første barn"	"Fars fødealder første barn"
"1961"	24.6	28.2
"1962"	24.3	27.9
"1963"	24.0	27.5
"1964"	23.8	27.2
"1965"	23.6	26.9
"1966"	23.4	26.6
"1967"	23.3	26.3
"1968"	23.3	26.2
"1969"	23.3	26.0
"1970"	23.2	26.0
"1971"	23.3	26.0
"1972"	23.3	25.9
"1973"	23.4	26.0
"1974"	23.5	26.1
"1975"	23.5	26.2
"1976"	23.6	26.4
"1977"	23.8	26.5
"1978"	24.1	26.8
"1979"	24.1	27.0
"1980"	24.3	27.1
"1981"	24.4	27.2
"1982"	24.5	27.3
"1983"	24.7	27.5
"1984"	24.9	27.7
"1985"	25.0	27.7
"1986"	25.1	27.8
"1987"	25.1	28.0
"1988"	25.2	28.1
"1989"	25.3	28.1
"1990"	25.5	28.3
"1991"	25.7	28.4
"1992"	25.9	28.5
"1993"	26.0	28.8
"1994"	26.3	28.9
"1995"	26.5	29.0
"1996"	26.7	29.2
"1997"	27.0	29.5
"1998"	27.2	29.7
"1999"	27.2	29.9
"2000"	27.3	30.1
"2001"	27.5	30.3
"2002"	27.7	30.5
"2003"	27.9	30.7
"2004"	28.0	30.8
"2005"	28.1	30.9
"2006"	28.1	30.8
"2007"	28.1	30.9
"2008"	28.1	30.9
"2009"	28.1	30.9
"2010"	28.1	30.8
"2011"	28.3	31.1
"2012"	28.5	31.2
"2013"	28.6	31.3
"2014"	28.7	31.3
"2015"	28.9	31.4
"2016"	29.0	31.5
"2017"	29.3	31.7
"2018"	29.5	31.8
"2019"	29.8	32.0
"2020"	29.9	32.1
"2021"	30.1	32.1
